Area/Sex,Total,,,Population that have completed the educational level of,,,,,,,Non-formal education,Level not stated
,,Beginners,Primary (1-5),Lower Secondary (6 -8),Secondary (9 -10),S.L.C. & Equivalent,Intermediate & Equivalent,Graduate & Equivalent,Post Graduate Equivalent & Above,Others,,
Nepal,,,,,,,,,,,,
Total,200925,7951,83363,44119,21386,23111,7893,2074,570,141,9741,576
Male,105343,4195,44422,22521,11037,11948,4182,1520,492,65,4655,306
Female,95582,3756,38941,21598,10349,11163,3711,554,78,76,5086,270
Saptari,,,,,,,,,,,,
Total,319680,8883,129377,63685,41849,33923,21283,9700,1824,535,5745,2876
Male,191510,5147,70753,37673,27152,22404,14252,7419,1544,329,3161,1676
Female,128170,3736,58624,26012,14697,11519,7031,2281,280,206,2584,1200
Siraha,,,,,,,,,,,,
Total,290093,8068,126007,59036,34229,31041,16651,6709,1660,684,3354,2654
Male,172611,4571,69110,34589,22113,20232,11490,5331,1493,365,1866,1451
Female,117482,3497,56897,24447,12116,10809,5161,1378,167,319,1488,1203
Dhanusa,,,,,,,,,,,,
Total,346984,7935,139606,70662,42077,36384,22554,11929,2938,798,7504,4597
Male,208510,4568,76608,41240,27560,24188,15413,9320,2448,432,4085,2648
Female,138474,3367,62998,29422,14517,12196,7141,2609,490,366,3419,1949
Mahottari,,,,,,,,,,,,
Total,262897,6935,124166,52186,26718,24402,14158,5207,1403,778,4786,2158
Male,157940,3873,68537,31181,17842,16661,9945,4154,1164,457,2864,1262
Female,104957,3062,55629,21005,8876,7741,4213,1053,239,321,1922,896
Sarlahi,,,,,,,,,,,,
Total,321834,11177,151230,62600,31736,30222,17765,6027,1528,526,6227,2796
Male,195723,6224,87285,38978,20738,19379,11750,4689,1302,301,3536,1541
Female,126111,4953,63945,23622,10998,10843,6015,1338,226,225,2691,1255
Sindhuli,,,,,,,,,,,,
Total,165389,8070,77423,32479,13442,15526,6830,1854,583,98,8392,692
Male,90721,4315,41486,17896,7912,9131,3748,1307,503,54,3981,388
Female,74668,3755,35937,14583,5530,6395,3082,547,80,44,4411,304
Ramechhap,,,,,,,,,,,,
Total,118368,3040,51178,26307,12305,9237,5009,1280,397,93,8619,903
Male,63167,1605,27450,13641,6414,5405,2530,894,345,61,4300,522
Female,55201,1435,23728,12666,5891,3832,2479,386,52,32,4319,381
Dolakha,,,,,,,,,,,,
Total,110503,7053,48071,22811,10704,8304,4733,1317,399,166,6585,360
Male,59648,3638,25911,12235,6055,4743,2592,865,337,98,2980,194
Female,50855,3415,22160,10576,4649,3561,2141,452,62,68,3605,166
Sindhupalchok,,,,,,,,,,,,
Total,160135,4806,73000,31480,14957,11193,6315,1500,647,151,15266,820
Male,87373,2545,39465,17109,8417,6503,3442,1074,536,96,7747,439
Female,72762,2261,33535,14371,6540,4690,2873,426,111,55,7519,381
Kavrepalanchok,,,,,,,,,,,,
Total,250441,8373,94278,51323,29516,26087,16058,5208,1536,166,16113,1783
Male,135843,4376,50618,27548,15946,15133,8913,3311,1133,92,7833,940
Female,114598,3997,43660,23775,13570,10954,7145,1897,403,74,8280,843
Lalitpur,,,,,,,,,,,,
Total,363595,10917,83129,58144,43542,51701,52511,31063,13752,480,17100,1256
Male,201402,5812,44882,32244,24032,28765,29063,18781,9166,314,7745,598
Female,162193,5105,38247,25900,19510,22936,23448,12282,4586,166,9355,658
Bhaktapur,,,,,,,,,,,,
Total,233191,7660,54560,41340,30724,35627,31289,14992,5788,193,9736,1282
Male,130805,4093,29575,23239,17198,20559,17440,9359,4201,111,4366,664
Female,102386,3567,24985,18101,13526,15068,13849,5633,1587,82,5370,618
Kathmandu,,,,,,,,,,,,
Total,1411979,42825,288228,207321,164795,217207,227008,143117,63266,1517,50182,6513
Male,788803,23088,154077,113731,89659,121751,126348,88794,44463,974,22305,3613
Female,623176,19737,134151,93590,75136,95456,100660,54323,18803,543,27877,2900
Nuwakot,,,,,,,,,,,,
Total,155540,5601,63242,32510,17576,12260,7281,2265,513,117,12201,1974
Male,84005,2984,34001,17032,9193,7048,3950,1482,407,81,6693,1134
Female,71535,2617,29241,15478,8383,5212,3331,783,106,36,5508,840
Rasuwa,,,,,,,,,,,,
Total,21847,914,10310,4548,1976,1888,1142,333,94,30,511,101
Male,12227,455,5526,2531,1095,1201,696,255,75,23,311,59,,
Female,9620,459,4784,2017,881,687,446,78,19,7,200,42,
Dhading,,,,,,,,,,,,
Total,196764,8493,93555,40853,18451,14751,7124,2072,655,147,9808,855
Male,103545,4561,49178,20867,9607,8241,3733,1389,551,88,4862,468
Female,93219,3932,44377,19986,8844,6510,3391,683,104,59,4946,387
Makwanpur,,,,,,,,,,,,
Total,265790,11537,120022,52908,23256,21993,13281,5018,1573,239,15326,637
Male,144596,6160,66332,27550,11864,12623,7658,3244,1193,154,7495,323
Female,121194,5377,53690,25358,11392,9370,5623,1774,380,85,7831,314
Rautahat,,,,,,,,,,,,
Total,257112,6013,123590,48406,24979,22603,16127,5887,1411,1275,3262,3559
Male,160488,3431,71529,31102,17201,15954,10969,4558,1189,589,1968,1998
Female,96624,2582,52061,17304,7778,6649,5158,1329,222,686,1294,1561
Bara,,,,,,,,,,,,
Total,324651,11380, 156953,67283,33217,27984,15289,5756,1315, 616,2863,1995
Male,199708,6245,89980,42857,22587,18974,10470,4390,1106,258,1647,1194
Female,124943,5135,66973,24426,10630,9010,4819,1366,209,358,1216,801
Parsa,,,,,,,,,,,,
Total,304925,11666,138713,61702,33094,21824,18867,10885,2624,381,3308,1861
Male,189742,6434,79768,39809,23197,14271,12988,8129,2038,210,1843,1055
Chitawan,,,,,,,,,,,,
Total,417778,12856,134709,91086,51552,52715,33368,12262,4138,408,23333,1351
Male,217574,6974,70428,45127,25946,28378,17784,7694,3148,211,11189,695
Female,200204,5882,64281,45959,25606,24337,15584,4568,990,197,12144,656
Gorkha,,,,,,,,,,,,
Total,168071,6277,73424,38147,14093,13718,5786,1755,539,204,13769,359
Male,83904,3228,36675,17923,7374,7400,2989,1234,433,120,6351,177
Female,84167,3049,36749,20224,6719,6318,2797,521,106,84,7418,182
Lamjung,,,,,,,,,,,,
Total,110690,4521,44085,25758,12327,10345,5035,1540,476,73,6214,316
Male,56234,2397,22301,12591,6522,5569,2615,1082,389,36,2573,159
Female,54456,2124,21784,13167,5805,4776,2420,458,87,37,3641,157
Tanahu,,,,,,,,,,,,
Total,224061,7643,91608,52085,24973,20049,8943,3105,936,199,13482,1038
Male,109781,4018,45308,23796,12017,10749,4738,2002,772,108,5801,472
Female,114280,3625,46300,28289,12956,9300,4205,1103,164,91,7681,566
Syangja,,,,,,,,,,,,
Total,205256,5103,71004,48295,31272,21285,10500,3535,1102,125,12480,555
Male,98676,2710,34567,21603,14528,10888,5136,2239,936,62,5753,254
Female,106580,2393,36437,26692,16744,10397,5364,1296,166,63,6727,301
Kaski,,,,,,,,,,,,
Total,377064,11282,107436,77826,54066,53428,37662,15333,5270,187,13519,1055
Male,196396,6137,54512,38222,27607,29308,20529,9724,4035,99,5711,512
Female,180668,5145,52924,39604,26459,24120,17133,5609,1235,88,7808,543
Manang,,,,,,,,,,,,
Total,4635,175,1388,919,411,463,529,92,35,9,609,5
Male,2901,94,809,613,274,331,314,87,35,4,339,1
Female,1734,81,579,306,137,132,215,5,0,5,270,4
Mustang,,,,,,,,,,,,
Total,8451,275,3650,1631,721,836,509,208,51,73,471,26
Male,5099,148,2038,987,470,578,354,178,44,66,220,16
Female,3352,127,1612,644,251,258,155,30,7,7,251,10
Myagdi,,,,,,,,,,,,
Total,74746,3458,32574,15922,7556,6762,2542,826,265,27,4666,148
Male,37588,1824,16497,7886,3929,3652,1353,622,219,14,1516,76
Female,37158,1634,16077,8036,3627,3110,1189,204,46,13,3150,72
Parbat,,,,,,,,,,,,
Total,99900,3327,35271,21899,13632,14301,4955,1669,554,35,3927,330
Male,49510,1858,17494,10069,6461,7219,2674,1183,473,17,1885,177
Female,50390,1469,17777,11830,7171,7082,2281,486,81,18,2042,153
Baglung,,,,,,,,,,,,
Total,176853,7576,72225,36428,19026,17989,7549,2321,653,68,12362,656
Male,85517,4058,35713,16671,9266,8897,3828,1558,554,35,4655,282
Female,91336,3518,36512,19757,9760,9092,3721,763,99,33,7707,374
Gulmi,,,,,,,,,,,,
Total,187823,9849,76782,40000,21272,18629,6226,1998,673,65,11924,405
Male,89411,5350,37352,17836,9594,8643,3252,1423,599,38,5137,187
Female,98412,4499,39430,22164,11678,9986,2974,575,74,27,6787,218
Palpa,,,,,,,,,,,,
Total,184992,6072,76297,41077,21898,16400,8438,2970,1039,70,10254,477
Male,90063,3248,37707,19093,10186,8322,4451,1906,824,33,4061,232
Female,94929,2824,38590,21984,11712,8078,3987,1064,215,37,6193,245
Nawalparasi,,,,,,,,,,,,
Total,423054,21416,172270,94038,52055,35196,21284,6902,1999,187,16011,1696
Male,223317,11658,90927,49128,27185,19405,11694,4418,1595,100,6394,813
Rupandehi,,,,,,,,,,,,
Total,569029,23069,219707,122040,73551,51931,39299,16410,4777,572,14843,2830
Male,315030,12683,118396,69506,41722,28738,22095,10491,3624,239,6076,1460
Female,253999,10386,101311,52534,31829,23193,17204,5919,1153,333,8767,1370
Kapilbastu,,,,,,,,,,,,
Total,289988,13429,142797,59270,27965,21372,12369,4654,1338,733,4818,1243
Male,170056,7325,79890,36854,18151,12374,7889,3199,1048,288,2410,628
Female,119932,6104,62907,22416,9814,8998,4480,1455,290,445,2408,615
Arghakhanchi,,,,,,,,,,,,
Total,131808,5492,54642,27179,15011,15711,3983,1386,440,139,7443,382
Male,63294,2919,26878,12324,6572,7096,2173,987,375,69,3689,212
Female,68514,2573,27764,14855,8439,8615,1810,399,65,70,3754,170
Pyuthan,,,,,,,,,,,,
Total,138034,9449,70392,25096,9445,8178,3832,1043,304,77,9745,473
Male,69142,4993,35286,12314,5164,4524,2177,834,256,39,3336,219
Female,68892,4456,35106,12782,4281,3654,1655,209,48,38,6409,254
Rolpa,,,,,,,,,,,,
Total,122360,8273,68551,21099,7890,5233,2659,820,155,78,7224,378
Male,65745,4133,36143,11711,4788,3307,1697,683,136,37,2915,195
Female,56615,4140,32408,9388,3102,1926,962,137,19,41,4309,183
Rukum,,,,,,,,,,,,
Total,117155,5354,56234,23807,11884,7725,5004,1638,371,56,4584,498
Male,63293,2771,29329,13112,6735,4557,3106,1201,304,32,1907,239
Female,53862,2583,26905,10695,5149,3168,1898,437,67,24,2677,259
Salyan,,,,,,,,,,,,
Total,143062,8094,69417,31711,13470,8522,5326,1061,255,121,4375,710
Male,78151,4266,37200,17084,7647,5260,3239,843,226,58,1931,397
Dang,,,,,,,,,,,,
Total,357563,17930,146092,80445,39559,29949,16603,6005,1586,322,17531,1541
Male,187809,9643,75688,40392,21106,16785,9778,4310,1333,161,7838,775
Female,169754,8287,70404,40053,18453,13164,6825,1695,253,161,9693,766
Banke,,,,,,,,,,,,
Total,283558,12122,115027,59020,31338,26932,17379,7862,2348,813,9605,1112
Male,157399,6601,63025,32918,18220,14808,10160,5171,1727,387,3839,543
Female,126159,5521,52002,26102,13118,12124,7219,2691,621,426,5766,569
Bardiya,,,,,,,,,,,,
Total,260553,13463,111108,62668,26991,20229,8887,2515,617,214,13592,269
Male,139766,7156,59666,33190,15121,11603,5327,1812,530,145,5087,129
Female,120787,6307,51442,29478,11870,8626,3560,703,87,69,8505,140
Surkhet,,,,,,,,,,,,
Total,233794,9744,100274,53158,24750,18615,9198,3279,949,226,12619,982
Male,125511,5087,52772,28429,13946,11183,5572,2342,774,130,4849,427
Female,108283,4657,47502,24729,10804,7432,3626,937,175,96,7770,555
Dailekh,,,,,,,,,,,,
Total,146520,6092,70298,31479,15558,9733,5631,1174,330,104,5539,582
Male,81901,3113,37452,18107,9488,6140,3637,924,277,62,2402,299
Female,64619,2979,32846,13372,6070,3593,1994,250,53,42,3137,283
Jajarkot,,,,,,,,,,,,
Total,88929,6342,43129,17320,8657,5778,3522,769,126,88,2911,287
Male,50653,3218,23228,10023,5489,3949,2456,610,118,52,1378,132
Female,38276,3124,19901,7297,3168,1829,1066,159,8,36,1533,155
Dolpa,,,,,,,,,,,,
Total,17895,1603,8474,2899,1529,1467,813,246,56,34,686,88
Male,11077,825,4695,1972,1111,1112,599,226,53,30,406,48
Female,6818,778,3779,927,418,355,214,20,3,4,280,40
Jumla,,,,,,,,,,,,
Total,54759,4891,25502,10248,4953,4656,1953,708,142,40,1590,76
Male,34059,2479,14445,7016,3679,3323,1549,618,132,30,750,38
Female,20700,2412,11057,3232,1274,1333,404,90,10,10,840,38,,
Kalikot,,,,,,,,,,,,
Total,69177,4629,34556,13107,5569,4358,2886,672,111,63,2944,282
Male,41044,2413,18492,8359,3903,3242,2171,580,104,45,1587,148
Female,28133,2216,16064,4748,1666,1116,715,92,7,18,1357,134
Mugu,,,,,,,,,,,,
